,topic,url_normal,url_simple
72,schulden,https://de.wikipedia.org/wiki/Schulden,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-schulden-100.html
73,sicherheits-behorden,https://de.wikipedia.org/wiki/Sicherheitsbeh%C3%B6rde_(Deutschland),https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-sicherheits-behoerden-100.html
74,skandinavien,https://de.wikipedia.org/wiki/Skandinavien,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-skandinavien100.html
75,staats-kanzlei,https://de.wikipedia.org/wiki/Staatskanzlei,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-staats-kanzlei-100.html
76,stadtebund-und-gemeindebund,"https://de.wikipedia.org/wiki/St%C3%A4dtebund, https://de.wikipedia.org/wiki/Deutscher_St%C3%A4dte-_und_Gemeindebund",https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-staedtebund-und-gemeindebund-100.html
77,stand-heizung,https://de.wikipedia.org/wiki/Standheizung,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-stand-heizung100.html
78,sterbe-hilfe,https://brockhaus.de/ecs/enzy/article/sterbehilfe,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-sterbe-hilfe-100.html
79,stiftung,https://de.wikipedia.org/wiki/Stiftung,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-stiftung-102.html
80,stiko,https://de.wikipedia.org/wiki/St%C3%A4ndige_Impfkommission,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-stiko-100.html
81,straen-belag,https://de.wikipedia.org/wiki/Decke_(Stra%C3%9Fenbau),https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-strassen-belag-100.html
82,straf-verteidiger,https://de.wikipedia.org/wiki/Strafverteidiger_(Deutschland),https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-straf-verteidiger-100.html
83,tempomat,https://de.wikipedia.org/wiki/Geschwindigkeitsregelanlage,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-Tempomat100.html
84,tornado,https://de.wikipedia.org/wiki/Tornado,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-tornado-100.html
85,trainieren,https://de.wikipedia.org/wiki/Training,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-trainieren-100.html
86,ubung,https://de.wikipedia.org/wiki/%C3%9Cbung,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-uebung-100.html
87,urwalder,https://de.wikipedia.org/wiki/Prim%C3%A4rwald,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-urwaelder-100.html
88,verbruhungen,https://de.wikipedia.org/wiki/Verbrennung_(Medizin),https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-verbruehungen100.html
89,vereidigen-vereidigt,https://de.wikipedia.org/wiki/Vereidigung,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-vereidigt-100.html
90,verkaufs-flache,https://de.wikipedia.org/wiki/Verkaufsfl%C3%A4che,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-verkaufs-flaeche-100.html
91,verkehrs-wacht,https://de.wikipedia.org/wiki/Deutsche_Verkehrswacht,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-verkehrs-wacht-100.html
92,verlegerin,https://de.wikipedia.org/wiki/Verleger,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-verlegerin-100.html
93,vize-prasident-oder-vize-prasidentin,https://de.wikipedia.org/wiki/Vizepr%C3%A4sident,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-vize-praesident-100.html
94,ware,https://de.wikipedia.org/wiki/Ware,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-ware-100.html
95,wochen-arbeits-zeit,https://de.wikipedia.org/wiki/Wochenarbeitszeit,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-wochen-arbeits-zeit-100.html
96,zeichen-trick-film,https://de.wikipedia.org/wiki/Zeichentrickfilm,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-zeichen-trick-film100.html
97,zoll-behorde,https://de.wikipedia.org/wiki/Zoll_(Beh%C3%B6rde),https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-zoll-behoerde-100.html
98,verbraucher-schutz,https://brockhaus.de/ecs/enzy/article/verbraucherschutz,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-Verbraucher-Schutz100.html
